"DisplayName","DisplayVersion","Publisher","InstallDate"
"icecap_collection_neutral","15.8.27906","Microsoft Corporation","20181022"
"vs_FileTracker_Singleton","15.9.28128","Microsoft Corporation","20190324"
"Windows SDK Desktop Tools x64","10.1.17134.12","Microsoft Corporation","20181022"
"Windows Team Extension SDK","10.1.17763.132","Microsoft Corporation","20190324"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20191015"
"Adobe Acrobat Reader DC","19.021.20049","Adobe Systems Incorporated","20191025"
"Windows IoT Extension SDK Contracts","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK Desktop Libs x64","10.1.17763.132","Microsoft Corporation","20190324"
"WinRT Intellisense UAP - en-us","10.1.17763.132","Microsoft Corporation","20190324"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20180921"
"Windows Mobile Extension SDK","10.1.17763.132","Microsoft Corporation","20190324"
"Sound Blaster Cinema 2","1.00.08","Creative Technology Limited",
"Universal CRT Redistributable","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK for Windows Store Apps Tools","10.1.17763.132","Microsoft Corporation","20190324"
"Respondus LockDown Browser 2","2.00.0000","Respondus","20190930"
"MySQL Connector J","8.0.15","Oracle Corporation","20190317"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20180921"
"Windows SDK Desktop Headers arm","10.1.17763.132","Microsoft Corporation","20190324"
"vs_devenvmsi","15.0.26621","Microsoft Corporation","20181022"
"Windows Desktop Extension SDK Contracts","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK Modern Versioned Developer Tools","10.1.17763.132","Microsoft Corporation","20190324"
"WinRT Intellisense UAP - Other Languages","10.1.17134.12","Microsoft Corporation","20181022"
"WinRT Intellisense Desktop - Other Languages","10.1.17134.12","Microsoft Corporation","20181022"
"MySQL Connector Net 8.0.15","8.0.15","Oracle","20190317"
"Intel(R) Chipset Device Software","10.1.1.9","Intel(R) Corporation",
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK Desktop Headers x86","10.1.17763.132","Microsoft Corporation","20190324"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0","Microsoft Corporation",
"Windows SDK Facade Windows WinMD Versioned","10.1.17763.132","Microsoft Corporation","20190324"
"Universal CRT Headers Libraries and Sources","10.1.17763.132","Microsoft Corporation","20190324"
"Universal General MIDI DLS Extension SDK","10.1.17763.132","Microsoft Corporation","20190324"
"Microsoft .NET Framework 4 Multi-Targeting Pack","4.0.30319","Microsoft Corporation","20181022"
"Update for  (KB2504637)","1","Microsoft Corporation",
"Universal CRT Tools x86","10.1.17763.132","Microsoft Corporation","20190324"
"Windows IoT Extension SDK Contracts","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK Desktop Libs x86","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK for Windows Store Apps Libs","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK for Windows Store Managed Apps Libs","10.1.17134.12","Microsoft Corporation","20181022"
"Cisco AnyConnect Secure Mobility Client","4.2.00096","Cisco Systems, Inc.","20180910"
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation","20181022"
"WinRT Intellisense Desktop - Other Languages","10.1.17763.132","Microsoft Corporation","20190324"
"WinRT Intellisense IoT - Other Languages","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK ARM Desktop Tools","10.1.17763.132","Microsoft Corporation","20190324"
"Windows Desktop Extension SDK","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK","10.1.17763.132","Microsoft Corporation","20190324"
