title,value
TicTacToe.h,0
winbgi2.cpp,0
ICT1002-W9-LAB-Functions-and-Arrays.pdf,0.953466679
ICT1002-W9-LEC-Program-and-Memory-Organisation.pdf,1
lecture slide 37.txt,0
addition.c,0.02831232
array.c,0.82
call_by_value.c,0.154
coercion.c,0
file_block_scope.c,0.786520039
function_scope.c,0.681650583
password.c,0.6
pointer.c,0.77
static_local.c,0.38180000000000003
graphics2.h,0
GUI.c,0.88
GUI.h,0.88
Makefile,0
TicTacToe2D.c,0
TicTacToe2D.h,0
winbgi2.cpp,0
ASCII Table.docx,0.7245999999999999
Friday Lecturer Contact Information.txt,0.00398142
ICT 1003 Notes(From Wei Ren).pdf,0
Ict 1003 Team Exploration project Briefing.pdf,0.022972161
Manual - Lab 1.pdf,0.055360697
Manual - Lab 2.pdf,0.055360697
Manual - Lab 3.pdf,0.055360697
TI MSP430 Design Workshop (Extracts for Lab 1).pdf,0.015420103000000001
Installing Code Composer.pdf,1
artifacts.jar,0
ccs_setup_6.2.0.00050.exe,0.018832749
content.jar,0.012892217
README_FIRST.txt,0.005908933
timestamp.txt,0
config.ini,0.42
bundles.info,0
com.ti.ccstudio.p2app_6.0.0.201311081510.jar,0.007204474
javax.servlet_3.1.0.v201410161800.jar,0
javax.xml_1.3.4.v201005080400.jar,0
org.eclipse.core.contenttype_3.5.0.v20150421-2214.jar,1
org.eclipse.core.jobs_3.7.0.v20150330-2103.jar,1
org.eclipse.core.net.linux.x86_64_1.1.100.v20140124-2013.jar,1
org.eclipse.core.net.win32.x86_1.0.100.v20140124-2013.jar,1
org.eclipse.core.net_1.2.300.v20141118-1725.jar,1
.api_description,0.35000000000000003
about.html,0
fragment.properties,0.015578096
ECLIPSE_.RSA,0.88
ECLIPSE_.SF,0.88
MANIFEST.MF,0
runtime_registry_compatibility.jar,0.22203905599999998
org.eclipse.core.runtime.compatibility_3.2.300.v20150423-0821.jar,1
org.eclipse.core.runtime_3.11.1.v20150903-1804.jar,1
org.eclipse.ecf.filetransfer_5.0.0.v20150810-1719.jar,0.88
org.eclipse.ecf.identity_3.6.0.v20150810-1719.jar,0.906858786
org.eclipse.ecf.provider.filetransfer.ssl_1.0.0.v20150810-1719.jar,1
org.eclipse.ecf.provider.filetransfer_3.2.200.v20150810-1719.jar,0.884834581
org.eclipse.ecf.ssl_1.2.0.v20150810-1719.jar,1
org.eclipse.ecf_3.5.0.v20150810-1719.jar,0.88
org.eclipse.equinox.app_1.3.300.v20150423-1356.jar,0.88
org.eclipse.equinox.common_3.7.0.v20150402-1709.jar,0.88
org.eclipse.equinox.concurrent_1.1.0.v20130327-1442.jar,0.88
org.eclipse.equinox.ds_1.4.300.v20150423-1356.jar,0.88
org.eclipse.equinox.event_1.3.100.v20140115-1647.jar,0.908185926
org.eclipse.equinox.frameworkadmin.equinox_1.0.600.v20150522-2234.jar,0.88
org.eclipse.equinox.frameworkadmin_2.0.200.v20150423-1455.jar,0.88
about.html,0
eclipse_1611.so,0.88
launcher.cocoa.macosx.x86_64.properties,0.015578096
ECLIPSE_.RSA,0.88
ECLIPSE_.SF,0.88
MANIFEST.MF,0
about.html,0
eclipse_1612.so,0.88
launcher.gtk.linux.x86_64.properties,0.8255780960000001
ECLIPSE_.RSA,0.88
ECLIPSE_.SF,0.88
MANIFEST.MF,0
about.html,0
eclipse_1611.dll,0.88
launcher.win32.win32.x86.properties,0.015578096
ECLIPSE_.RSA,0.88
ECLIPSE_.SF,0.88
MANIFEST.MF,0
org.eclipse.equinox.launcher_1.3.100.v20150511-1540.jar,0.88
org.eclipse.equinox.p2.artifact.repository_1.1.400.v20150513-2116.jar,1
org.eclipse.equinox.p2.core_2.4.0.v20150527-1706.jar,1
org.eclipse.equinox.p2.director.app_1.0.400.v20150423-1455.jar,0.88619332
org.eclipse.equinox.p2.directorywatcher_1.1.100.v20150423-1455.jar,0.88
org.eclipse.equinox.p2.director_2.3.200.v20150423-1455.jar,0.88619332
org.eclipse.equinox.p2.engine_2.4.0.v20150511-1532.jar,0.88707808
org.eclipse.equinox.p2.extensionlocation_1.2.200.v20150423-1455.jar,0.88
org.eclipse.equinox.p2.garbagecollector_1.0.200.v20131115-1210.jar,0.88
org.eclipse.equinox.p2.jarprocessor_1.0.400.v20150430-1836.jar,0.88
org.eclipse.equinox.p2.metadata.repository_1.2.200.v20150428-1613.jar,0.88
org.eclipse.equinox.p2.metadata_2.3.0.v20150511-1532.jar,0.88
org.eclipse.equinox.p2.operations_2.4.100.v20150423-1455.jar,0.88
org.eclipse.equinox.p2.publisher.eclipse_1.2.0.v20150601-1708.jar,1
org.eclipse.equinox.p2.publisher_1.4.0.v20141117-0929.jar,0.88
org.eclipse.equinox.p2.repository_2.3.100.v20150428-1613.jar,0.88
org.eclipse.equinox.p2.touchpoint.eclipse_2.1.300.v20150423-1455.jar,1
org.eclipse.equinox.p2.touchpoint.natives_1.2.0.v20150519-1136.jar,0.88
org.eclipse.equinox.p2.transport.ecf_1.1.0.v20130516-1858.jar,0.886572503
org.eclipse.equinox.p2.updatesite_1.0.500.v20150423-1455.jar,0.88
org.eclipse.equinox.preferences_3.5.300.v20150408-1437.jar,0.88
org.eclipse.equinox.registry_3.6.0.v20150318-1503.jar,0.892039056
org.eclipse.equinox.security.macosx_1.100.200.v20130327-1442.jar,1
org.eclipse.equinox.security.win32.x86_1.0.300.v20130327-1442.jar,1
org.eclipse.equinox.security_1.2.100.v20150423-1356.jar,1
org.eclipse.equinox.simpleconfigurator.manipulator_2.0.100.v20150423-1455.jar,0.88
